F2 CAPITAL MARKET YIELDS – GOVERNMENT BONDS
Description,"Yields on Australian government bonds, interpolated, 2 years maturity","Yields on Australian government bonds, interpolated, 3 years maturity","Yields on Australian government bonds, interpolated, 5 years maturity","Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government indexed bonds, interpolated, 10 years maturity"
Frequency,Daily,Daily,Daily,Daily,Daily
Type,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum
Source,RBA,RBA,RBA,RBA,RBA
Publication date,30-Jan-2026,30-Jan-2026,30-Jan-2026,30-Jan-2026,30-Jan-2026
Series ID,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D,FCMYGBAGID
Date,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond
07-Nov-2013,2.776,3.029,3.444,4.112
08-Nov-2013,2.753,3.002,3.417,4.090
11-Nov-2013,2.803,3.062,3.483,4.179
12-Nov-2013,2.838,3.104,3.535,4.250
13-Nov-2013,2.799,3.066,3.497,4.222
14-Nov-2013,2.764,3.020,3.443,4.159
15-Nov-2013,2.748,3.001,3.431,4.160
18-Nov-2013,2.748,3.003,3.433,4.165
19-Nov-2013,2.768,3.024,3.451,4.178
20-Nov-2013,2.787,3.053,3.487,4.228
21-Nov-2013,2.808,3.084,3.533,4.294
22-Nov-2013,2.786,3.063,3.511,4.278
25-Nov-2013,2.772,3.044,3.488,4.238
26-Nov-2013,2.740,3.006,3.448,4.193
27-Nov-2013,2.721,2.979,3.419,4.159
28-Nov-2013,2.759,3.029,3.471,4.210
29-Nov-2013,2.735,2.999,3.441,4.181
02-Dec-2013,2.790,3.061,3.516,4.247
03-Dec-2013,2.809,3.082,3.539,4.285
04-Dec-2013,2.762,3.032,3.500,4.267
05-Dec-2013,2.786,3.058,3.547,4.357
06-Dec-2013,2.805,3.079,3.573,4.392
09-Dec-2013,2.764,3.031,3.519,4.332
10-Dec-2013,2.769,3.039,3.531,4.348
11-Dec-2013,2.720,2.985,3.479,4.307
12-Dec-2013,2.692,2.949,3.448,4.282
13-Dec-2013,2.676,2.930,3.437,4.281
16-Dec-2013,2.632,2.867,3.373,4.186
17-Dec-2013,2.637,2.868,3.379,4.190
18-Dec-2013,2.627,2.852,3.365,4.193
19-Dec-2013,2.667,2.900,3.411,4.232
20-Dec-2013,2.667,2.913,3.428,4.249
23-Dec-2013,2.670,2.914,3.426,4.226
24-Dec-2013,2.658,2.901,3.408,4.201
27-Dec-2013,2.709,2.956,3.463,4.238
30-Dec-2013,2.700,2.945,3.453,4.233
31-Dec-2013,2.676,2.910,3.425,4.199
02-Jan-2014,2.739,2.974,3.492,4.292
03-Jan-2014,,,,4.307
06-Jan-2014,2.755,2.995,3.522,4.340
